Line,nsup,ninf,Frequency_splatalogue,Frequency_radmc,Desfase[GHz]
$\mathrm{H30_\alpha}$,31,30,231.900928,231993975119.293,0.093047119292938
$\mathrm{H38_\alpha}$,39,38,115.274399,115320651271.878,0.046252271878006
$\mathrm{H39_\alpha}$,40,39,106.737357,106780183559.478,0.042826559477997
$\mathrm{H42_\alpha}$,43,42,85.68839,85722771207.0451,0.034381207045105
$\mathrm{H44_\alpha}$,45,44,74.644562,74674512252.9298,0.029950252929794
$\mathrm{H51_\alpha}$,52,51,48.153597,48172917991.3635,0.019320991363503
$\mathrm{H53_\alpha}$,54,53,42.951968,42969201907.1032,0.017233907103203
$\mathrm{H58_\alpha}$,59,58,32.852196,32865377105.442,0.013181105442001
$\mathrm{H60_\alpha}$,61,60,29.700362,29712279244.7096,0.011917244709599
$\mathrm{H62_\alpha}$,63,62,26.939162,26949971087.8585,0.010809087858501
$\mathrm{H102_\alpha}$,103,102,6.106855,6109305412.47546,
$\mathrm{H109_\alpha}$,110,109,5.008922,5010932091.14487,
